X,Y,extra,nesting,num_operands
[SM48],[SM48],no,1,2
[MAX27],[MAX27],no,1,2
[MIN54],[MIN54],no,1,2
[MIN62],[MIN62],no,1,2
[MIN93],[MIN93],no,1,2
[MAX81],[MAX81],no,1,2
[MIN74],[MIN74],no,1,2
[MAX19],[MAX19],no,1,2
[SM25],[SM25],no,1,2
[MIN39],[MIN39],no,1,2
[MAX63],[MAX63],no,1,2
[MAX45],[MAX45],no,1,2
[MIN27],[MIN27],no,1,2
[SM57],[SM57],no,1,2
[MIN17],[MIN17],no,1,2
[MIN21],[MIN21],no,1,2
[MAX12],[MAX12],no,1,2
[MIN05],[MIN05],no,1,2
[MIN53],[MIN53],no,1,2
[MIN47],[MIN47],no,1,2
[SM97],[SM97],no,1,2
[MAX71],[MAX71],no,1,2
[MIN60],[MIN60],no,1,2
[MIN09],[MIN09],no,1,2
[MIN73],[MIN73],no,1,2
[SM14],[SM14],no,1,2
[MAX29],[MAX29],no,1,2
[SM05],[SM05],no,1,2
[MAX88],[MAX88],no,1,2
[MAX64],[MAX64],no,1,2
[MIN94],[MIN94],no,1,2
[MAX57],[MAX57],no,1,2
[SM60],[SM60],no,1,2
[SM43],[SM43],no,1,2
[SM46],[SM46],no,1,2
[MIN48],[MIN48],no,1,2
[MAX92],[MAX92],no,1,2
[MAX51],[MAX51],no,1,2
[SM28],[SM28],no,1,2
[SM86],[SM86],no,1,2
[MIN99],[MIN99],no,1,2
[SM78],[SM78],no,1,2
[SM92],[SM92],no,1,2
[SM20],[SM20],no,1,2
[MIN69],[MIN69],no,1,2
[MAX16],[MAX16],no,1,2
[MAX90],[MAX90],no,1,2
[SM41],[SM41],no,1,2
[MIN42],[MIN42],no,1,2
[SM15],[SM15],no,1,2
[SM80],[SM80],no,1,2
[MAX26],[MAX26],no,1,2
[SM71],[SM71],no,1,2
[SM93],[SM93],no,1,2
[MAX41],[MAX41],no,1,2
[MAX[MIN56]3],[MIN56],easy,2,2
[MIN6[MAX32]],[MAX32],easy,2,2
[SM0[SM69]],[SM69],easy,2,2
[MIN7[MAX02]],[MAX02],easy,2,2
[MIN8[SM42]],[SM42],easy,2,2
[MIN[MAX90]5],[MAX90],easy,2,2
[MIN0[SM99]],[SM99],easy,2,2
[MIN[SM18]1],[SM18],easy,2,2
[SM4[SM89]],[SM89],easy,2,2
[MAX6[MIN43]],[MIN43],easy,2,2
[MIN[MIN48]5],[MIN48],easy,2,2
[MIN[MIN11]3],[MIN11],easy,2,2
[MIN3[SM35]],[SM35],easy,2,2
[MAX9[MAX41]],[MAX41],easy,2,2
[MAX0[MAX34]],[MAX34],easy,2,2
[MIN3[MAX58]],[MAX58],easy,2,2
[SM[MIN51]0],[MIN51],easy,2,2
[MAX[SM86]3],[SM86],easy,2,2
[SM6[SM23]],[SM23],easy,2,2
[SM[MIN48]1],[MIN48],easy,2,2
[SM2[SM36]],[SM36],easy,2,2
[MAX3[MIN11]],[MIN11],easy,2,2
[MIN7[MAX03]],[MAX03],easy,2,2
[MAX3[MAX05]],[MAX05],easy,2,2
[SM2[MIN02]],[MIN02],easy,2,2
[MIN[MAX39]4],[MAX39],easy,2,2
[SM6[SM28]],[SM28],easy,2,2
[SM8[MIN84]],[MIN84],easy,2,2
[SM[MAX01]3],[MAX01],easy,2,2
[MAX0[MIN46]],[MIN46],easy,2,2
[MIN8[MIN24]],[MIN24],easy,2,2
[SM2[MIN27]],[MIN27],easy,2,2
[MAX[SM34]4],[SM34],easy,2,2
[MIN[MIN17]4],[MIN17],easy,2,2
[SM3[MIN58]],[MIN58],easy,2,2
[SM[MAX34]9],[MAX34],easy,2,2
[MAX[MAX37]3],[MAX37],easy,2,2
[MAX5[MIN42]],[MIN42],easy,2,2
[MIN[MAX32]7],[MAX32],easy,2,2
[SM4[SM70]],[SM70],easy,2,2
[MAX[MIN49]6],[MIN49],easy,2,2
[SM6[MIN73]],[MIN73],easy,2,2
[MAX[SM15]4],[SM15],easy,2,2
[MAX[MIN36]0],[MIN36],easy,2,2
[SM[SM03]3],[SM03],easy,2,2
[MAX[SM41]9],[SM41],easy,2,2
[SM7[MAX95]],[MAX95],easy,2,2
[MIN3[MAX03]],[MAX03],easy,2,2
[MIN8[MIN12]],[MIN12],easy,2,2
[MAX7[MAX83]],[MAX83],easy,2,2
[MIN[MAX59]3],[MAX59],easy,2,2
[MAX[MAX19]4],[MAX19],easy,2,2
[SM0[MAX07]],[MAX07],easy,2,2
[MIN[MIN32]9],[MIN32],easy,2,2
[SM[MIN48]6],[MIN48],easy,2,2
[SM[MIN59]8],[MIN59],easy,2,2
[MAX6[SM15]],[SM15],easy,2,2
[MAX3[MIN33]],[MIN33],easy,2,2
[SM[MAX88]0],[MAX88],easy,2,2
[MIN9[MIN93]],[MIN93],easy,2,2
[SM9[MAX12]],[MAX12],easy,2,2
[MAX1[SM91]],[SM91],easy,2,2
[MAX[SM00]5],[SM00],easy,2,2
[SM7[MAX38]],[MAX38],easy,2,2
[MIN[MAX20]1],[MAX20],easy,2,2
[MAX[MIN47]6],[MIN47],easy,2,2
[MIN3[MAX80]],[MAX80],easy,2,2
[MAX3[SM96]],[SM96],easy,2,2
[MAX9[MAX30]],[MAX30],easy,2,2
[SM5[MAX43]],[MAX43],easy,2,2
[SM[SM56]8],[SM56],easy,2,2
[MAX[MAX49]1],[MAX49],easy,2,2
[MIN[SM94]1],[SM94],easy,2,2
[SM9[SM19]],[SM19],easy,2,2
[MIN2[MAX19]],[MAX19],easy,2,2
[SM[MAX57]2],[MAX57],easy,2,2
[MAX9[SM83]],[SM83],easy,2,2
[MIN9[MIN00]],[MIN00],easy,2,2
[MIN3[MAX77]],[MAX77],easy,2,2
[MIN5[SM37]],[SM37],easy,2,2
[MIN[MIN59]6],[MIN59],easy,2,2
[MIN[SM89]8],[SM89],easy,2,2
[MAX1[SM26]],[SM26],easy,2,2
[SM5[MIN31]],[MIN31],easy,2,2
[MAX9[MIN65]],[MIN65],easy,2,2
[SM[MIN78]0],[MIN78],easy,2,2
[MIN6[MIN34]],[MIN34],easy,2,2
[SM[SM74]6],[SM74],easy,2,2
[MAX8[MIN74]],[MIN74],easy,2,2
[MIN6[SM41]],[SM41],easy,2,2
[MIN[MIN87]7],[MIN87],easy,2,2
[SM2[SM03]],[SM03],easy,2,2
[MAX[MIN00]1],[MIN00],easy,2,2
[SM[MAX86]7],[MAX86],easy,2,2
[MAX[MIN56]9],[MIN56],easy,2,2
[MAX6[MAX16]],[MAX16],easy,2,2
[SM0[MIN67]],[MIN67],easy,2,2
[SM[MAX77]5],[MAX77],easy,2,2
[SM7[MIN82]],[MIN82],easy,2,2
[MIN[MIN46]9],[MIN46],easy,2,2
[MAX[SM61]0],[SM61],easy,2,2
[MAX[MAX23]1],[MAX23],easy,2,2
[SM0[SM77]],[SM77],easy,2,2
[SM8[MAX15]],[MAX15],easy,2,2
[SM[MAX03]9],[MAX03],easy,2,2
[SM0[MIN03]],[MIN03],easy,2,2
[SM6[MIN67]],[MIN67],easy,2,2
[MAX2[SM59]],[SM59],easy,2,2
[MAX[SM78]3],[SM78],easy,2,2
[MAX[MIN82]6],[MIN82],easy,2,2
[MAX[SM93]7],[SM93],easy,2,2
[MIN[MAX07]9],[MAX07],easy,2,2
[MIN2[MIN08]],[MIN08],easy,2,2
[SM0[MIN91]],[MIN91],easy,2,2
[MAX[MIN29]8],[MIN29],easy,2,2
[MAX[SM18]0],[SM18],easy,2,2
[MIN[SM72]8],[SM72],easy,2,2
[MIN7[MAX19]],[MAX19],easy,2,2
[SM9[SM18]],[SM18],easy,2,2
[MIN5[SM07]],[SM07],easy,2,2
[MAX[SM48]1],[SM48],easy,2,2
[MAX[SM18]7],[SM18],easy,2,2
[SM4[SM07]],[SM07],easy,2,2
[MAX[MIN10]9],[MIN10],easy,2,2
[MAX[MAX56]5],[MAX56],easy,2,2
[SM[MIN99]5],[MIN99],easy,2,2
[MAX2[MAX84]],[MAX84],easy,2,2
[SM3[MAX45]],[MAX45],easy,2,2
[MAX5[MAX72]],[MAX72],easy,2,2
[MAX[MAX58]4],[MAX58],easy,2,2
[MIN[SM36]6],[SM36],easy,2,2
[MIN4[SM80]],[SM80],easy,2,2
[MAX[MIN12]3],[MIN12],easy,2,2
[SM[SM98]7],[SM98],easy,2,2
[MIN[MAX14]2],[MAX14],easy,2,2
[MAX1[MIN25]],[MIN25],easy,2,2
[MAX[MAX85]1],[MAX85],easy,2,2
[SM[SM32]3],[SM32],easy,2,2
[MIN5[SM67]],[SM67],easy,2,2
[SM[MIN34]7],[MIN34],easy,2,2
[MAX9[MAX47]],[MAX47],easy,2,2
[SM[MAX02]2],[MAX02],easy,2,2
[SM[MIN87]2],[MIN87],easy,2,2
[MAX[MIN64]0],[MIN64],easy,2,2
[MAX7[MIN53]],[MIN53],easy,2,2
[MAX9[MAX12]],[MAX12],easy,2,2
[MAX9[MIN60]],[MIN60],easy,2,2
[MIN6[MIN90]],[MIN90],easy,2,2
[MAX2[MAX05]],[MAX05],easy,2,2
[MAX4[SM28]],[SM28],easy,2,2
[SM8[MAX47]],[MAX47],easy,2,2
[SM8[MAX07]],[MAX07],easy,2,2
[MAX1[MAX57]],[MAX57],easy,2,2
[SM7[SM18]],[SM18],easy,2,2
[SM[SM44]9],[SM44],easy,2,2
[MAX8[MAX21]],[MAX21],easy,2,2
[MIN[SM41]6],[SM41],easy,2,2
[MIN[MIN64]7],[MIN64],easy,2,2
[SM[MIN06]0],[MIN06],easy,2,2
[SM6[SM66]],[SM66],easy,2,2
[MAX4[MAX98]],[MAX98],easy,2,2
[SM9[MAX77]],[MAX77],easy,2,2
[SM1[MAX22]],[MAX22],easy,2,2
[MAX7[SM84]],[SM84],easy,2,2
[SM8[MIN76]],[MIN76],easy,2,2
[MAX[SM98]1],[SM98],easy,2,2
[MAX[MIN18]4],[MIN18],easy,2,2
[MAX[SM78]0],[SM78],easy,2,2
[MIN[MAX41]5],[MAX41],easy,2,2
[MAX[MIN87]8],[MIN87],easy,2,2
[MAX[MAX47]2],[MAX47],easy,2,2
[MIN[MAX05]2],[MAX05],easy,2,2
[MAX[MAX36]3],[MAX36],easy,2,2
[MIN4[MAX90]],[MAX90],easy,2,2
[SM[SM07]2],[SM07],easy,2,2
[MAX[MAX06]7],[MAX06],easy,2,2
[MIN[MIN88]6],[MIN88],easy,2,2
[MIN9[MAX28]],[MAX28],easy,2,2
[MIN0[SM34]],[SM34],easy,2,2
[MIN[MAX08]0],[MAX08],easy,2,2
[MIN[MAX69]4],[MAX69],easy,2,2
[MIN3[MIN91]],[MIN91],easy,2,2
[MIN2[SM57]],[SM57],easy,2,2
[MAX[SM67]4],[SM67],easy,2,2
[MIN[MIN63]3],[MIN63],easy,2,2
[MAX[SM50]9],[SM50],easy,2,2
[MAX6[MIN12]],[MIN12],easy,2,2
[MIN[MAX85]4],[MAX85],easy,2,2
[MAX5[SM87]],[SM87],easy,2,2
[SM[MIN51]8],[MIN51],easy,2,2
[SM[SM40]0],[SM40],easy,2,2
[SM6[MIN12]],[MIN12],easy,2,2
[MAX[MIN28]9],[MIN28],easy,2,2
[MAX1[MIN73]],[MIN73],easy,2,2
[MAX1[MAX07]],[MAX07],easy,2,2
[MIN[MAX58]5],[MAX58],easy,2,2
[MAX3[MAX60]],[MAX60],easy,2,2
[MAX1[MAX16]],[MAX16],easy,2,2
[MIN[MAX40]5],[MAX40],easy,2,2
[MAX1[MIN40]],[MIN40],easy,2,2
[MAX5[MAX19]],[MAX19],easy,2,2
[MIN[MAX24]7],[MAX24],easy,2,2
[MIN3[MIN51]],[MIN51],easy,2,2
[SM[MIN48]3],[MIN48],easy,2,2
[MIN[MAX77]7],[MAX77],easy,2,2
[MIN[MIN87]5],[MIN87],easy,2,2
[SM7[MAX01]],[MAX01],easy,2,2
[SM0[MIN01]],[MIN01],easy,2,2
[SM6[MIN63]],[MIN63],easy,2,2
[MAX4[MAX81]],[MAX81],easy,2,2
[MIN0[MIN24]],[MIN24],easy,2,2
[MIN8[MAX93]],[MAX93],easy,2,2
[MIN6[MAX06]],[MAX06],easy,2,2
[MAX7[MIN25]],[MIN25],easy,2,2
[SM8[MIN71]],[MIN71],easy,2,2
[MAX[SM56]0],[SM56],easy,2,2
[MAX0[MAX24]],[MAX24],easy,2,2
[MIN4[MIN90]],[MIN90],easy,2,2
[MAX9[SM38]],[SM38],easy,2,2
[MIN[SM04]9],[SM04],easy,2,2
[SM[MIN88]6],[MIN88],easy,2,2
[MAX6[MIN27]],[MIN27],easy,2,2
[MIN[MIN26]1],[MIN26],easy,2,2
[SM[MIN70]2],[MIN70],easy,2,2
[SM[MAX84]3],[MAX84],easy,2,2
[MAX2[MAX99]],[MAX99],easy,2,2
[SM[MIN92]5],[MIN92],easy,2,2
[SM8[SM34]],[SM34],easy,2,2
[MIN[MIN33]5],[MIN33],easy,2,2
[MAX[SM57]7],[SM57],easy,2,2
[SM3[MIN48]],[MIN48],easy,2,2
[MIN6[SM78]],[SM78],easy,2,2
[MIN9[MIN85]],[MIN85],easy,2,2
[MIN0[SM96]],[SM96],easy,2,2
[MAX[SM30]9],[SM30],easy,2,2
[MAX[SM66]3],[SM66],easy,2,2
[MIN[MAX62]3],[MAX62],easy,2,2
[SM7[MIN31]],[MIN31],easy,2,2
[MAX9[MIN24]],[MIN24],easy,2,2
[MIN[MAX46]1],[MAX46],easy,2,2
[MIN0[SM35]],[SM35],easy,2,2
[SM[SM02]4],[SM02],easy,2,2
[MAX[MAX98]8],[MAX98],easy,2,2
[MIN[MAX11]2],[MAX11],easy,2,2
[MAX[MIN77]7],[MIN77],easy,2,2
[MAX0[MIN05]],[MIN05],easy,2,2
[MAX[SM63]1],[SM63],easy,2,2
[MAX4[SM64]],[SM64],easy,2,2
[MAX[MIN99]9],[MIN99],easy,2,2
[SM8[SM70]],[SM70],easy,2,2
[MIN2[MIN66]],[MIN66],easy,2,2
[MIN0[MAX00]],[MAX00],easy,2,2
[SM1[MIN42]],[MIN42],easy,2,2
[SM4[SM18]],[SM18],easy,2,2
[SM1[SM75]],[SM75],easy,2,2
[MIN[MAX71]7],[MAX71],easy,2,2
[MIN2[SM27]],[SM27],easy,2,2
[MAX8[MIN65]],[MIN65],easy,2,2
[MAX[MAX71]9],[MAX71],easy,2,2
[MIN[MAX27]0],[MAX27],easy,2,2
[MIN9[MIN57]],[MIN57],easy,2,2
[SM[MAX52]5],[MAX52],easy,2,2
[MIN2[MIN53]],[MIN53],easy,2,2
[MAX3[MIN57]],[MIN57],easy,2,2
[SM[SM70]0],[SM70],easy,2,2
[SM[MIN00]1],[MIN00],easy,2,2
[MAX6[MIN47]],[MIN47],easy,2,2
[MIN[MIN25]8],[MIN25],easy,2,2
[MAX[SM69]7],[SM69],easy,2,2
[MAX0[MAX70]],[MAX70],easy,2,2
[MIN[MIN69]4],[MIN69],easy,2,2
[MAX[MAX51]6],[MAX51],easy,2,2
[SM9[MIN15]],[MIN15],easy,2,2
[SM[SM76]5],[SM76],easy,2,2
[MAX9[SM91]],[SM91],easy,2,2
[SM[MAX95]2],[MAX95],easy,2,2
[MIN[MAX50]7],[MAX50],easy,2,2
[SM5[SM19]],[SM19],easy,2,2
[MAX5[SM76]],[SM76],easy,2,2
[SM2[MAX83]],[MAX83],easy,2,2
[MIN[MIN09]8],[MIN09],easy,2,2
[SM[MIN47]1],[MIN47],easy,2,2
[MAX[SM33]9],[SM33],easy,2,2
[MIN[MAX55]8],[MAX55],easy,2,2
[SM[MAX30]4],[MAX30],easy,2,2
[MIN9[SM05]],[SM05],easy,2,2
[MAX[MAX89]3],[MAX89],easy,2,2
[SM3[MAX58]],[MAX58],easy,2,2
[MAX[SM58]1],[SM58],easy,2,2
[SM[SM96]2],[SM96],easy,2,2
[MIN[SM28]6],[SM28],easy,2,2
[MIN[MAX25]5],[MAX25],easy,2,2
[MIN[MIN74]2],[MIN74],easy,2,2
[MAX[MAX49]6],[MAX49],easy,2,2
[MIN[MAX99]0],[MAX99],easy,2,2
[SM[MIN27]0],[MIN27],easy,2,2
[MAX9[MIN14]],[MIN14],easy,2,2
[MIN1[MAX05]],[MAX05],easy,2,2
[SM0[MAX21]],[MAX21],easy,2,2
[SM6[MIN03]],[MIN03],easy,2,2
[SM[MAX30]3],[MAX30],easy,2,2
[MIN8[MAX14]],[MAX14],easy,2,2
[MIN[SM42]5],[SM42],easy,2,2
[MIN[MAX54]0],[MAX54],easy,2,2
[MIN3[MAX51]],[MAX51],easy,2,2
[MAX[MIN30]7],[MIN30],easy,2,2
[SM[MAX73]0],[MAX73],easy,2,2
[SM1[SM03]],[SM03],easy,2,2
[MIN9[MAX00]],[MAX00],easy,2,2
[SM[SM91]6],[SM91],easy,2,2
[MAX[MIN47]2],[MIN47],easy,2,2
[MIN[MAX19]0],[MAX19],easy,2,2
[MAX[MIN91]2],[MIN91],easy,2,2
[MIN5[MIN77]],[MIN77],easy,2,2
[SM[MIN50]2],[MIN50],easy,2,2
[MAX[MAX56]6],[MAX56],easy,2,2
[MIN7[MAX84]],[MAX84],easy,2,2
[SM6[MIN61]],[MIN61],easy,2,2
[SM0[MIN72]],[MIN72],easy,2,2
[MAX[MIN94]1],[MIN94],easy,2,2
[MIN0[SM54]],[SM54],easy,2,2
[MAX[MAX50]9],[MAX50],easy,2,2
[SM[MIN22]5],[MIN22],easy,2,2
[SM[MAX95]1],[MAX95],easy,2,2
[MAX5[MIN88]],[MIN88],easy,2,2
[SM[MIN56]9],[MIN56],easy,2,2
[SM4[MIN15]],[MIN15],easy,2,2
[MIN[MAX54]6],[MAX54],easy,2,2
[SM5[SM66]],[SM66],easy,2,2
[MAX6[MAX73]],[MAX73],easy,2,2
[MAX5[SM91]],[SM91],easy,2,2
[SM[MIN30]7],[MIN30],easy,2,2
[MIN2[MIN50]],[MIN50],easy,2,2
[SM6[MAX04]],[MAX04],easy,2,2
[MIN3[MAX50]],[MAX50],easy,2,2
[SM7[SM41]],[SM41],easy,2,2
[MAX[MIN13]9],[MIN13],easy,2,2
[MIN[MAX70]1],[MAX70],easy,2,2
[MIN[MIN91]6],[MIN91],easy,2,2
[MIN9[SM24]],[SM24],easy,2,2
[MIN0[MIN78]],[MIN78],easy,2,2
[MAX[MIN43]8],[MIN43],easy,2,2
[SM[SM34]4],[SM34],easy,2,2
[MIN[SM67]1],[SM67],easy,2,2
[SM[MAX82]3],[MAX82],easy,2,2
[SM0[MAX34]],[MAX34],easy,2,2
[SM6[SM82]],[SM82],easy,2,2
[MIN9[MIN06]],[MIN06],easy,2,2
[MAX[SM36]2],[SM36],easy,2,2
[MIN[SM75]3],[SM75],easy,2,2
[MIN[MIN45]3],[MIN45],easy,2,2
[SM2[MIN91]],[MIN91],easy,2,2
[MAX[MIN90]5],[MIN90],easy,2,2
[SM[SM66]9],[SM66],easy,2,2
[MIN[SM83]4],[SM83],easy,2,2
[MAX8[SM36]],[SM36],easy,2,2
[MIN[MAX53]6],[MAX53],easy,2,2
[MIN9[MIN67]],[MIN67],easy,2,2
[MIN8[MIN10]],[MIN10],easy,2,2
[MIN4[MAX75]],[MAX75],easy,2,2
[MIN2[SM87]],[SM87],easy,2,2
[SM9[SM37]],[SM37],easy,2,2
[SM2[MIN71]],[MIN71],easy,2,2
[MAX8[SM88]],[SM88],easy,2,2
[SM9[MIN07]],[MIN07],easy,2,2
[MAX2[MIN29]],[MIN29],easy,2,2
[MAX7[MIN78]],[MIN78],easy,2,2
[MIN0[MAX04]],[MAX04],easy,2,2
[MAX[MAX21]8],[MAX21],easy,2,2
[SM1[SM31]],[SM31],easy,2,2
[MIN[MAX57]4],[MAX57],easy,2,2
[SM[SM15]7],[SM15],easy,2,2
[SM3[MAX51]],[MAX51],easy,2,2
[MAX4[MAX72]],[MAX72],easy,2,2
[MIN[SM11]8],[SM11],easy,2,2
[MAX[SM21]3],[SM21],easy,2,2
[MAX[MAX00]3],[MAX00],easy,2,2
[SM[MAX27]2],[MAX27],easy,2,2
[MIN6[SM96]],[SM96],easy,2,2
[MAX2[SM95]],[SM95],easy,2,2
[MIN[MIN07]5],[MIN07],easy,2,2
[MAX7[SM08]],[SM08],easy,2,2
[MIN8[MAX08]],[MAX08],easy,2,2
[SM4[MAX26]],[MAX26],easy,2,2
[MAX9[SM46]],[SM46],easy,2,2
[SM8[MIN67]],[MIN67],easy,2,2
[MAX2[SM16]],[SM16],easy,2,2
[MIN[MIN70]3],[MIN70],easy,2,2
[SM5[MAX56]],[MAX56],easy,2,2
[SM0[MIN33]],[MIN33],easy,2,2
[SM[MAX11]2],[MAX11],easy,2,2
[SM[MAX14]4],[MAX14],easy,2,2
[SM[MIN26]5],[MIN26],easy,2,2
[MAX[SM32]4],[SM32],easy,2,2
[SM[MAX17]1],[MAX17],easy,2,2
[MAX4[MAX85]],[MAX85],easy,2,2
[SM5[MIN65]],[MIN65],easy,2,2
[MIN3[MAX12]],[MAX12],easy,2,2
[SM[SM46]3],[SM46],easy,2,2
[MAX[MAX66]1],[MAX66],easy,2,2
[SM6[MAX01]],[MAX01],easy,2,2
[MAX[SM03]0],[SM03],easy,2,2
[MIN[MIN66]7],[MIN66],easy,2,2
[SM[MAX38]3],[MAX38],easy,2,2
