X,Y,nesting,num_operands,extra
(+7*b*x*y++13*b*x*y),+20*b*x*y,1,2,no
(-48*x-39*x),-87*x,1,2,no
(+42*a*y+96*a*y),+38*a*y,1,2,no
(-68*x*y+13*x*y),-55*x*y,1,2,no
(-63*a*b*y-4*a*b*y),-67*a*b*y,1,2,no
(+16*a*x++45*a*x),+61*a*x,1,2,no
(-54*x*y-5*x*y),-59*x*y,1,2,no
(-72*x+35*x),-37*x,1,2,no
-79*x,$,1,1,no
(+30*x-34*x),-4*x,1,2,no
(-87*b*x*y-54*b*x*y),-41*b*x*y,1,2,no
(-2*x*y-44*x*y),-46*x*y,1,2,no
(-26*x*y+54*x*y),+28*x*y,1,2,no
(-43*y-99*y),-42*y,1,2,no
(-92*b*y+85*b*y),-7*b*y,1,2,no
(+44*x*y-61*x*y),-17*x*y,1,2,no
+62*x*y,$,1,1,no
(-4*b*y+64*b*y),+60*b*y,1,2,no
(+79*b*y+29*b*y),+8*b*y,1,2,no
(+33*y+-90*y),-57*y,1,2,no
(-84*y+10*y),-74*y,1,2,no
(+86*x-73*x),+13*x,1,2,no
(+12*b*x*y-45*b*x*y),-33*b*x*y,1,2,no
(+55*a*b*x*y+59*a*b*x*y),+14*a*b*x*y,1,2,no
+-34*a*b*x*y,$,1,1,no
(-99*x*y-79*x*y),-78*x*y,1,2,no
(-86*x*y++67*x*y),-19*x*y,1,2,no
-68*x,$,1,1,no
(+30*a*b*y+76*a*b*y),+6*a*b*y,1,2,no
(+35*x*y-19*x*y),+16*x*y,1,2,no
(-72*a*b*x*y+-45*a*b*x*y),-17*a*b*x*y,1,2,no
(-32*x*y+-21*x*y),-53*x*y,1,2,no
(+79*x*y-52*x*y),+27*x*y,1,2,no
(-11*a*b*x*y+22*a*b*x*y),+11*a*b*x*y,1,2,no
(+87*x*y+77*x*y),+64*x*y,1,2,no
(+43*a*b*x-60*a*b*x),-17*a*b*x,1,2,no
+-64*a*b*y,$,1,1,no
(+4*x+88*x),+92*x,1,2,no
(+4*a*b*x*y+0*x*y*a*b),+4*a*b*x*y,1,2,no
(+76*x*y+-73*x*y),+3*x*y,1,2,no
(+31*a*b*y+48*a*b*y),+79*a*b*y,1,2,no
35*a*b*x*y,$,1,1,no
57*b*y,$,1,1,no
(-16*a*b*x*y++43*a*b*x*y),+27*a*b*x*y,1,2,no
(+21*b*y-5*b*y),+16*b*y,1,2,no
(+47*x-82*x),-35*x,1,2,no
(+27*x*y-49*x*y),-22*x*y,1,2,no
(+99*a*x++29*a*x),+28*a*x,1,2,no
(-49*x*y++25*x*y),-24*x*y,1,2,no
(+31*b*x*y+22*b*x*y),+53*b*x*y,1,2,no
(+32*a*b*x+73*a*b*x),+5*a*b*x,1,2,no
(-65*b*y-13*b*y),-78*b*y,1,2,no
96*b*y,$,1,1,no
(+25*x+-50*x),-25*x,1,2,no
(-18*x*y-11*x*y),-29*x*y,1,2,no
(-77*y+47*y),-30*y,1,2,no
(+60*a*b*y-51*a*b*y),+9*a*b*y,1,2,no
(-22*x*y+-94*x*y),-16*x*y,1,2,no
(+94*a*b*y+-15*a*b*y),+79*a*b*y,1,2,no
(+56*a*b*y-19*a*b*y),+37*a*b*y,1,2,no
(+31*b*y-24*b*y),+7*b*y,1,2,no
-71*a*b*x,$,1,1,no
(+73*a*b*x*y+12*a*b*x*y),+85*a*b*x*y,1,2,no
(-46*y+-22*y),-68*y,1,2,no
(+78*x*y-67*x*y),+11*x*y,1,2,no
(+82*x*y-48*x*y),+34*x*y,1,2,no
(+34*x*y++70*x*y),+4*x*y,1,2,no
(-96*y-39*y),-35*y,1,2,no
(-44*x*y+47*x*y),+3*x*y,1,2,no
(+32*a*b*x*y+a*b*x*y),+33*a*b*x*y,1,2,no
(+33*a*b*x*y+81*a*b*x*y),+14*a*b*x*y,1,2,no
(-76*b*y+31*b*y),-45*b*y,1,2,no
(+32*b*y-62*b*y),-30*b*y,1,2,no
(+52*x*y+93*x*y),+45*x*y,1,2,no
(+44*a*x*y-13*a*x*y),+31*a*x*y,1,2,no
(+65*y++11*y),+76*y,1,2,no
(-35*a*b*y+2*a*b*y),-33*a*b*y,1,2,no
(+33*a*b*x-a*b*x),+32*a*b*x,1,2,no
(+5*x*y-80*x*y),-75*x*y,1,2,no
8*a*y,$,1,1,no
(+64*b*y+89*b*y),+53*b*y,1,2,no
(+45*a*x*y+a*x*y),+46*a*x*y,1,2,no
(-70*x*y-32*x*y),-2*x*y,1,2,no
96*a*b*y,$,1,1,no
(-57*y-3*y),-60*y,1,2,no
(-69*x*y-92*x*y),-61*x*y,1,2,no
-59*a*x*y,$,1,1,no
(-30*x*y+4*x*y),-26*x*y,1,2,no
+40*x,$,1,1,no
(-34*b*x+-67*b*x),-b*x,1,2,no
(+3*b*x+62*b*x),+65*b*x,1,2,no
(-36*x*y+56*x*y),+20*x*y,1,2,no
(-38*y+-76*y),-14*y,1,2,no
(+82*x*y-59*x*y),+23*x*y,1,2,no
-29*b*x*y,$,1,1,no
(-26*x*y+25*x*y),-x*y,1,2,no
(-41*a*x*y-84*a*x*y),-25*a*x*y,1,2,no
(-91*y+60*y),-31*y,1,2,no
(+62*a*b*y++12*a*b*y),+74*a*b*y,1,2,no
-34*a*b*x*y,$,1,1,no
(+69*a*b*x-a*b*x),+68*a*b*x,1,2,no
(+25*a*x*y+11*a*x*y),+36*a*x*y,1,2,no
(+78*b*x*y+70*b*x*y),+48*b*x*y,1,2,no
(-a*b*y-34*a*b*y),-35*a*b*y,1,2,no
(+58*y+28*y),+86*y,1,2,no
(-18*y+36*y),+18*y,1,2,no
(-25*a*b*x-64*a*b*x),-89*a*b*x,1,2,no
(+6*x*y+57*x*y),+63*x*y,1,2,no
(+80*x+-5*x),+75*x,1,2,no
(+53*x*y+29*x*y),+82*x*y,1,2,no
(-9*a*b*y+-29*a*b*y),-38*a*b*y,1,2,no
+-82*b*x*y,$,1,1,no
(-96*x*y+70*x*y),-26*x*y,1,2,no
(+28*b*x*y+4*b*x*y),+32*b*x*y,1,2,no
(+32*a*b*y-99*a*b*y),-67*a*b*y,1,2,no
(-88*a*x*y-53*a*x*y),-41*a*x*y,1,2,no
(-40*x*y+-52*x*y),-92*x*y,1,2,no
(-22*x*y+95*x*y),+73*x*y,1,2,no
(-45*x*y-40*x*y),-85*x*y,1,2,no
(+19*a*x*y++17*a*x*y),+36*a*x*y,1,2,no
(-61*a*x+-36*a*x),-97*a*x,1,2,no
(-23*a*b*x*y+36*a*b*x*y),+13*a*b*x*y,1,2,no
(+6*a*b*x*y++13*a*b*x*y),+19*a*b*x*y,1,2,no
(-49*a*x-73*a*x),-22*a*x,1,2,no
16*a*x*y,$,1,1,no
(+80*x*y+31*x*y),+11*x*y,1,2,no
(-51*y-28*y),-79*y,1,2,no
(-20*b*y+24*b*y),+4*b*y,1,2,no
(+19*b*y+54*b*y),+73*b*y,1,2,no
(+38*x*y++29*x*y),+67*x*y,1,2,no
(+7*b*x+57*b*x),+64*b*x,1,2,no
(-26*a*b*x*y+59*a*b*x*y),+33*a*b*x*y,1,2,no
(-63*a*x*y-7*a*x*y),-70*a*x*y,1,2,no
(-94*y+-57*y),-51*y,1,2,no
+-24*a*x*y,$,1,1,no
(+98*a*b*x*y++96*a*b*x*y),+94*a*b*x*y,1,2,no
(-20*x*y-37*x*y),-57*x*y,1,2,no
(+7*a*y++16*a*y),+23*a*y,1,2,no
(-28*a*x*y-76*a*x*y),-4*a*x*y,1,2,no
(+32*a*b*y+11*a*b*y),+43*a*b*y,1,2,no
(+25*x*y-65*x*y),-40*x*y,1,2,no
-9*x,$,1,1,no
+-85*a*b*y,$,1,1,no
(+12*x*y-93*x*y),-81*x*y,1,2,no
(+59*a*y-5*a*y),+54*a*y,1,2,no
(+74*x*y-39*x*y),+35*x*y,1,2,no
(-54*a*y-30*a*y),-84*a*y,1,2,no
(+9*a*b*x-12*a*b*x),-3*a*b*x,1,2,no
(+7*b*x-72*b*x),-65*b*x,1,2,no
+57*x,$,1,1,no
(+59*a*b*y-27*a*b*y),+32*a*b*y,1,2,no
(-11*a*b*x*y-11*a*b*x*y),-22*a*b*x*y,1,2,no
(+74*x+37*x),+11*x,1,2,no
(-61*a*b*x-18*a*b*x),-79*a*b*x,1,2,no
(+28*a*b*x-49*a*b*x),-21*a*b*x,1,2,no
(+93*y+67*y),+60*y,1,2,no
(+6*a*x*y-13*a*x*y),-7*a*x*y,1,2,no
(+47*x*y++49*x*y),+96*x*y,1,2,no
(+24*b*y++92*b*y),+16*b*y,1,2,no
(+79*x++2*x),+81*x,1,2,no
(+95*y-40*y),+55*y,1,2,no
(+85*b*y+79*b*y),+64*b*y,1,2,no
(-86*x*y-32*x*y),-18*x*y,1,2,no
(-16*x*y-46*x*y),-62*x*y,1,2,no
(-96*a*b*x-72*a*b*x),-68*a*b*x,1,2,no
-81*a*b*x,$,1,1,no
(+y+90*y),+91*y,1,2,no
(+15*x*y-74*x*y),-59*x*y,1,2,no
(+51*y+-96*y),-45*y,1,2,no
(+22*b*y+65*b*y),+87*b*y,1,2,no
-66*x*y,$,1,1,no
(+37*x*y+88*x*y),+25*x*y,1,2,no
-57*a*x*y,$,1,1,no
(+25*a*x*y+40*a*x*y),+65*a*x*y,1,2,no
(+19*x*y+19*x*y),+38*x*y,1,2,no
(+69*x*y-33*x*y),+36*x*y,1,2,no
(+79*x*y+53*x*y),+32*x*y,1,2,no
(-69*a*b*x*y+20*a*b*x*y),-49*a*b*x*y,1,2,no
(+93*x+-57*x),+36*x,1,2,no
(-4*y+6*y),+2*y,1,2,no
(+65*x*y-77*x*y),-12*x*y,1,2,no
(-71*x*y+93*x*y),+22*x*y,1,2,no
+29*a*b*y,$,1,1,no
(-76*x*y+3*x*y),-73*x*y,1,2,no
(-5*y++52*y),+47*y,1,2,no
(+84*a*x*y+60*a*x*y),+44*a*x*y,1,2,no
(+22*a*b*x*y-21*a*b*x*y),+a*b*x*y,1,2,no
(-9*b*y-b*y),-10*b*y,1,2,no
(+97*a*b*y+26*a*b*y),+23*a*b*y,1,2,no
(+77*b*x*y++0*x*y*b),+77*b*x*y,1,2,no
(-31*y++51*y),+20*y,1,2,no
(+98*a*b*x*y+0*x*y*a*b),+98*a*b*x*y,1,2,no
(-59*a*b*x+-10*a*b*x),-69*a*b*x,1,2,no
(-20*x*y++61*x*y),+41*x*y,1,2,no
(-8*a*y++60*a*y),+52*a*y,1,2,no
+44*a*b*y,$,1,1,no
(-2*a*x*y-12*a*x*y),-14*a*x*y,1,2,no
(-21*a*b*y-18*a*b*y),-39*a*b*y,1,2,no
(-22*x*y+75*x*y),+53*x*y,1,2,no
(+10*a*x-14*a*x),-4*a*x,1,2,no
(+74*x*y+35*x*y),+9*x*y,1,2,no
(+18*x*y++69*x*y),+87*x*y,1,2,no
+-70*b*y,$,1,1,no
(+11*x+7*x),+18*x,1,2,no
(-97*x*y-69*x*y),-66*x*y,1,2,no
(-94*b*x*y-62*b*x*y),-56*b*x*y,1,2,no
(+a*b*x+87*a*b*x),+88*a*b*x,1,2,no
(+9*a*x*y+81*a*x*y),+90*a*x*y,1,2,no
(-51*x*y-86*x*y),-37*x*y,1,2,no
(+41*x+-41*x),+0*x,1,2,no
-69*a*b*x*y,$,1,1,no
(+42*y+43*y),+85*y,1,2,no
+20*a*x*y,$,1,1,no
(-74*b*y-63*b*y),-37*b*y,1,2,no
(+57*a*y+99*a*y),+56*a*y,1,2,no
(+95*y+-3*y),+92*y,1,2,no
(-96*x+29*x),-67*x,1,2,no
(-26*a*b*x-21*a*b*x),-47*a*b*x,1,2,no
(-83*x*y+-61*x*y),-44*x*y,1,2,no
(-7*a*x-4*a*x),-11*a*x,1,2,no
(+49*a*b*y+-52*a*b*y),-3*a*b*y,1,2,no
(+97*x*y+47*x*y),+44*x*y,1,2,no
(-41*y-67*y),-8*y,1,2,no
(-4*a*b*y+29*a*b*y),+25*a*b*y,1,2,no
(-80*y-78*y),-58*y,1,2,no
(-25*x*y-63*x*y),-88*x*y,1,2,no
(-52*a*b*y++36*a*b*y),-16*a*b*y,1,2,no
(-82*x+-60*x),-42*x,1,2,no
+-84*b*x*y,$,1,1,no
(-5*x*y-10*x*y),-15*x*y,1,2,no
(-35*x*y+25*x*y),-10*x*y,1,2,no
(-a*x*y-9*a*x*y),-10*a*x*y,1,2,no
(-46*y+40*y),-6*y,1,2,no
(+78*x*y+16*x*y),+94*x*y,1,2,no
(-44*a*y+39*a*y),-5*a*y,1,2,no
(+98*a*b*x*y+-21*a*b*x*y),+77*a*b*x*y,1,2,no
(-77*x*y++92*x*y),+15*x*y,1,2,no
(-44*b*x*y-9*b*x*y),-53*b*x*y,1,2,no
-73*a*x,$,1,1,no
(-68*x+71*x),+3*x,1,2,no
(-6*y+43*y),+37*y,1,2,no
(-90*x+-72*x),-62*x,1,2,no
(-63*a*x*y-10*a*x*y),-73*a*x*y,1,2,no
(+30*x-27*x),+3*x,1,2,no
(-93*a*b*y+-43*a*b*y),-36*a*b*y,1,2,no
(+11*x-30*x),-19*x,1,2,no
(-b*y+57*b*y),+56*b*y,1,2,no
(+7*b*x+-47*b*x),-40*b*x,1,2,no
59*b*x*y,$,1,1,no
44*a*y,$,1,1,no
(+60*x*y+5*x*y),+65*x*y,1,2,no
(-85*x*y-39*x*y),-24*x*y,1,2,no
(+96*x++96*x),+92*x,1,2,no
(-88*x*y+4*x*y),-84*x*y,1,2,no
(+81*x+59*x),+40*x,1,2,no
(+75*b*x*y+77*b*x*y),+52*b*x*y,1,2,no
(-9*a*b*x*y+24*a*b*x*y),+15*a*b*x*y,1,2,no
(+14*x-30*x),-16*x,1,2,no
(-92*x+79*x),-13*x,1,2,no
(-58*x*y-97*x*y),-55*x*y,1,2,no
(-17*x-82*x),-99*x,1,2,no
(-29*a*b*x*y+-24*a*b*x*y),-53*a*b*x*y,1,2,no
(+27*a*x+60*a*x),+87*a*x,1,2,no
(-25*a*b*x*y-90*a*b*x*y),-15*a*b*x*y,1,2,no
(-11*x*y+22*x*y),+11*x*y,1,2,no
(-94*x*y+49*x*y),-45*x*y,1,2,no
(-11*x*y-32*x*y),-43*x*y,1,2,no
(+45*a*x*y+48*a*x*y),+93*a*x*y,1,2,no
+95*x*y,$,1,1,no
(+9*x-72*x),-63*x,1,2,no
(-9*b*x-36*b*x),-45*b*x,1,2,no
(-39*x*y-18*x*y),-57*x*y,1,2,no
(-94*x*y-54*x*y),-48*x*y,1,2,no
(+34*x*y++43*x*y),+77*x*y,1,2,no
(+75*x*y+67*x*y),+42*x*y,1,2,no
(+94*x+82*x),+76*x,1,2,no
(+15*x*y-x*y),+14*x*y,1,2,no
(-34*b*x*y-23*b*x*y),-57*b*x*y,1,2,no
(+11*x*y++67*x*y),+78*x*y,1,2,no
(-72*b*y+12*b*y),-60*b*y,1,2,no
(+22*a*b*x+-7*a*b*x),+15*a*b*x,1,2,no
(+54*a*b*y-11*a*b*y),+43*a*b*y,1,2,no
(+11*x++x),+12*x,1,2,no
(+87*a*y+33*a*y),+20*a*y,1,2,no
(+65*a*b*x*y-73*a*b*x*y),-8*a*b*x*y,1,2,no
(+15*b*x*y++33*b*x*y),+48*b*x*y,1,2,no
-8*x*y,$,1,1,no
(-27*a*y-29*a*y),-56*a*y,1,2,no
+54*b*y,$,1,1,no
(+x*y+52*x*y),+53*x*y,1,2,no
+-42*a*b*x*y,$,1,1,no
+97*b*x,$,1,1,no
(-49*a*x*y++9*a*x*y),-40*a*x*y,1,2,no
(+41*x*y+-25*x*y),+16*x*y,1,2,no
(+29*x*y-12*x*y),+17*x*y,1,2,no
-52*a*x*y,$,1,1,no
(-13*y-71*y),-84*y,1,2,no
+-58*a*b*x*y,$,1,1,no
(-6*y+70*y),+64*y,1,2,no
(+50*x+69*x),+19*x,1,2,no
+96*x*y,$,1,1,no
(-40*b*y++24*b*y),-16*b*y,1,2,no
(-12*a*b*y-46*a*b*y),-58*a*b*y,1,2,no
(-62*a*b*y-67*a*b*y),-29*a*b*y,1,2,no
+65*b*x*y,$,1,1,no
-69*b*x*y,$,1,1,no
(-17*x*y+77*x*y),+60*x*y,1,2,no
(-8*a*x*y+25*a*x*y),+17*a*x*y,1,2,no
(+33*b*x*y+19*b*x*y),+52*b*x*y,1,2,no
(+68*x*y+28*x*y),+96*x*y,1,2,no
(+90*x*y+12*x*y),+2*x*y,1,2,no
(+84*x*y+68*x*y),+52*x*y,1,2,no
(+56*a*x*y+75*a*x*y),+31*a*x*y,1,2,no
(-4*a*x*y+-59*a*x*y),-63*a*x*y,1,2,no
63*b*y,$,1,1,no
19*a*b*x,$,1,1,no
(+40*a*b*y+49*a*b*y),+89*a*b*y,1,2,no
(+a*b*x*y+17*a*b*x*y),+18*a*b*x*y,1,2,no
(-58*x+-36*x),-94*x,1,2,no
+-46*a*y,$,1,1,no
(-53*x-97*x),-50*x,1,2,no
+33*a*x,$,1,1,no
(-62*x*y++38*x*y),-24*x*y,1,2,no
(-39*a*y-48*a*y),-87*a*y,1,2,no
(+47*a*b*x*y-10*a*b*x*y),+37*a*b*x*y,1,2,no
(+38*x*y+92*x*y),+30*x*y,1,2,no
+93*a*b*x*y,$,1,1,no
(+45*y-37*y),+8*y,1,2,no
(-2*y+22*y),+20*y,1,2,no
(-87*x*y+75*x*y),-12*x*y,1,2,no
(+20*x*y-99*x*y),-79*x*y,1,2,no
(-42*y+74*y),+32*y,1,2,no
(-5*x*y-6*x*y),-11*x*y,1,2,no
(-90*y+-61*y),-51*y,1,2,no
(-27*y-57*y),-84*y,1,2,no
(+38*x*y+-22*x*y),+16*x*y,1,2,no
(+29*b*x*y-15*b*x*y),+14*b*x*y,1,2,no
(-83*x*y+41*x*y),-42*x*y,1,2,no
(-8*x+42*x),+34*x,1,2,no
-10*b*x*y,$,1,1,no
(+7*a*b*x-10*a*b*x),-3*a*b*x,1,2,no
(-97*x*y+25*x*y),-72*x*y,1,2,no
(+24*a*b*y-9*a*b*y),+15*a*b*y,1,2,no
(+83*y-95*y),-12*y,1,2,no
(+76*y+26*y),+2*y,1,2,no
(+52*x*y-81*x*y),-29*x*y,1,2,no
-95*a*y,$,1,1,no
(-83*a*b*x*y-38*a*b*x*y),-21*a*b*x*y,1,2,no
(-61*y-10*y),-71*y,1,2,no
(-40*a*x*y-57*a*x*y),-97*a*x*y,1,2,no
(-50*a*x*y+50*a*x*y),+0*x*y*a,1,2,no
(-68*a*b*x+-30*a*b*x),-98*a*b*x,1,2,no
(+43*a*b*x*y+67*a*b*x*y),+10*a*b*x*y,1,2,no
(-15*x*y+79*x*y),+64*x*y,1,2,no
(+10*x*y+-99*x*y),-89*x*y,1,2,no
(-9*a*x*y+86*a*x*y),+77*a*x*y,1,2,no
(-15*a*b*x*y-51*a*b*x*y),-66*a*b*x*y,1,2,no
(+13*x+89*x),+2*x,1,2,no
(-7*b*x*y++3*b*x*y),-4*b*x*y,1,2,no
-33*a*b*x,$,1,1,no
(-33*a*x-29*a*x),-62*a*x,1,2,no
(+55*a*b*y+13*a*b*y),+68*a*b*y,1,2,no
(-23*a*b*y+64*a*b*y),+41*a*b*y,1,2,no
(+0*y*a*b-75*a*b*y),-75*a*b*y,1,2,no
+67*a*b*y,$,1,1,no
(-6*a*b*x*y-5*a*b*x*y),-11*a*b*x*y,1,2,no
(+x*y+95*x*y),+96*x*y,1,2,no
(+94*y+-56*y),+38*y,1,2,no
(-19*y+59*y),+40*y,1,2,no
(-27*x*y-86*x*y),-13*x*y,1,2,no
-99*b*x,$,1,1,no
(-77*x*y+30*x*y),-47*x*y,1,2,no
(+51*y+4*y),+55*y,1,2,no
(-6*a*b*y+20*a*b*y),+14*a*b*y,1,2,no
(+32*x-17*x),+15*x,1,2,no
+73*a*y,$,1,1,no
(+61*x*y-37*x*y),+24*x*y,1,2,no
(+3*a*x*y-94*a*x*y),-91*a*x*y,1,2,no
(+33*y+87*y),+20*y,1,2,no
(-27*a*x*y+35*a*x*y),+8*a*x*y,1,2,no
(+75*a*y+71*a*y),+46*a*y,1,2,no
(-13*a*b*y-60*a*b*y),-73*a*b*y,1,2,no
(+80*a*b*x*y+32*a*b*x*y),+12*a*b*x*y,1,2,no
(-51*b*x*y-19*b*x*y),-70*b*x*y,1,2,no
(-x*y+90*x*y),+89*x*y,1,2,no
(+67*a*y+13*a*y),+80*a*y,1,2,no
